 


  SANTA BARBARA MUNI AP (CA)- Wind Frequency Table (percentage)  
  
  Latitude  :        34.4258       Start Date :          Jan. 1, 2018           Sub Interal Windows 
  Longitude :      -119.8425       End Date   :         June 27, 2018                 Start    End  
  Elevation :         9 ft.        # of Days  :         178 of    178          Date    Jan.  1   Dec. 31  
  Element :     Mean Wind Speed    # obs of poss :    3838 of    4272           Hour     0      24   
  
 (Greater than or equal to initial interval value and Less than ending interval value.) 
  
Range (mph),    N,   NNE,    NE,   ENE,     E,   ESE,    SE,   SSE,     S,   SSW,    SW,   WSW,     W,   WNW,    NW,   NNW,  Total
 1.3 -    4,  0.6 ,  0.9 ,  1.1 ,  1.3 ,  1.6 ,  0.5 ,  0.9 ,  0.5 ,  0.3 ,  0.4 ,  0.6 ,  0.6 ,  1.1 ,  0.7 ,  0.5 ,  0.4 , 12.0
   4 -    8,  0.8 ,  0.8 ,  1.4 ,  2.1 ,  3.3 ,  2.3 ,  4.4 ,  4.0 ,  2.6 ,  1.5 ,  1.7 ,  3.2 ,  3.2 ,  1.0 ,  0.8 ,  0.4 , 33.5
   8 -   13,  0.6 ,  0.5 ,  0.4 ,  0.3 ,  1.3 ,  1.4 ,  2.4 ,  3.5 ,  1.5 ,  0.9 ,  1.5 ,  3.8 ,  4.4 ,  0.4 ,  0.9 ,  0.7 , 24.3
  13 -   19,  0.4 ,  0.2 ,  0.1 ,  0.0 ,  0.1 ,  0.2 ,  0.3 ,  0.1 ,  0.0 ,  0.0 ,  0.1 ,  0.7 ,  1.6 ,  0.4 ,  0.7 ,  0.7 ,  5.5
  19 -   25,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.9 ,  0.1 ,  0.2 ,  0.1 ,  1.5
  25 -   32,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.1
  32 -   39,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
  39 -   47,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
  47 -     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
 Total(%)  ,  2.5 ,  2.4 ,  2.9 ,  3.6 ,  6.3 ,  4.5 ,  7.9 ,  8.2 ,  4.3 ,  2.8 ,  3.9 ,  8.3 , 11.4 ,  2.6 ,  3.2 ,  2.2 , 77.0 
Calm (<1.3),      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 23.0 
 Ave. Speed,  8.2 ,  6.5 ,  5.5 ,  5.1 ,  5.8 ,  7.4 ,  6.9 ,  7.1 ,  6.6 ,  6.5 ,  6.9 ,  8.4 ,  9.9 ,  7.8 ,  9.6 , 10.3 ,  5.8 ,  


