 


  NEW YORK LAGUARDIA AP (NY)- Wind Frequency Table (percentage)  
  
  Latitude  :        40.7789       Start Date :          Jan. 1, 2018           Sub Interal Windows 
  Longitude :       -73.8808       End Date   :         July 10, 2018                 Start    End  
  Elevation :        11 ft.        # of Days  :         191 of    191          Date    Jan.  1   Dec. 31  
  Element :     Mean Wind Speed    # obs of poss :    4449 of    4584           Hour     0      24   
  
 (Greater than or equal to initial interval value and Less than ending interval value.) 
  
Range (mph),    N,   NNE,    NE,   ENE,     E,   ESE,    SE,   SSE,     S,   SSW,    SW,   WSW,     W,   WNW,    NW,   NNW,  Total
 1.3 -    4,  0.2 ,  0.1 ,  0.4 ,  0.2 ,  0.2 ,  0.1 ,  0.1 ,  0.1 ,  0.4 ,  0.2 ,  0.1 ,  0.2 ,  0.2 ,  0.2 ,  0.4 ,  0.2 ,  3.2
   4 -    8,  1.0 ,  1.1 ,  3.1 ,  2.1 ,  1.1 ,  0.2 ,  0.4 ,  0.9 ,  3.5 ,  1.8 ,  1.1 ,  0.5 ,  0.6 ,  0.7 ,  1.5 ,  0.8 , 20.4
   8 -   13,  2.0 ,  1.8 ,  5.5 ,  3.4 ,  0.9 ,  0.6 ,  0.9 ,  1.7 ,  6.2 ,  2.9 ,  3.4 ,  1.5 ,  2.1 ,  2.0 ,  3.8 ,  2.2 , 40.8
  13 -   19,  1.3 ,  0.4 ,  2.5 ,  1.2 ,  0.3 ,  0.2 ,  0.2 ,  0.7 ,  2.4 ,  0.5 ,  0.7 ,  0.9 ,  3.0 ,  2.8 ,  4.2 ,  2.2 , 23.7
  19 -   25,  0.5 ,  0.1 ,  0.2 ,  0.7 ,  0.1 ,  0.0 ,  0.0 ,  0.1 ,  0.1 ,  0.0 ,  0.1 ,  0.2 ,  0.8 ,  1.6 ,  1.6 ,  0.7 ,  6.9
  25 -   32,  0.1 ,  0.0 ,  0.1 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.2 ,  0.6 ,  0.4 ,  0.2 ,  1.8
  32 -   39,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.2 ,  0.3
  39 -   47,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
  47 -     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
 Total(%)  ,  5.2 ,  3.6 , 11.9 ,  7.8 ,  2.7 ,  1.1 ,  1.7 ,  3.5 , 12.7 ,  5.3 ,  5.4 ,  3.3 ,  6.9 ,  7.9 , 11.8 ,  6.4 , 97.1 
Calm (<1.3),      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,  2.8 
 Ave. Speed, 12.2 ,  9.6 , 10.2 , 10.9 ,  8.3 ,  9.9 ,  9.7 , 10.6 ,  9.7 ,  8.8 , 10.1 , 11.4 , 14.2 , 15.7 , 13.7 , 14.0 , 11.3 ,  


